"catch-difficulty","catch-phrase","color-1","color-2","creature-type","critterpedia-filename","critterpedia-image","description","furniture-filename","furniture-image","hha-base-points","hha-category","icon-filename","icon-image","id","lighting-type","movement-speed","name","nh-apr","nh-aug","nh-dec","nh-feb","nh-jan","nh-jul","nh-jun","nh-mar","nh-may","nh-nov","nh-oct","nh-sep","sell","sh-apr","sh-aug","sh-dec","sh-feb","sh-jan","sh-jul","sh-jun","sh-mar","sh-may","sh-nov","sh-oct","sh-sep","shadow","size","spawn-rates","surface","total-catches-to-unlock","vision","weather","where-how"
"Medium","I caught a blowfish! I'm blown away!","Beige","Black","Fish","FishFugu","https://acnhcdn.com/latest/BookFishIcon/FishFuguCropped.png","As you may know, blowfish carry a deadly poison and are among the most toxic creatures on earth. What you may not have known is that poison and spines are not the limit of this animal's defenses! A predator that tries to swallow a blowfish before it inflates can find itself quickly choking. To be honest, if said predator can get past poison, spines, AND choking hazards, I feel they've earned a meal.","FtrFishFugu","https://acnhcdn.com/latest/FtrIcon/FtrFishFugu.png",71,"Pet","Fish73","https://acnhcdn.com/latest/MenuIcon/Fish73.png","F54","Fluorescent",NA,"blowfish",NA,NA,"9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM",NA,NA,NA,NA,"9 PM – 4 AM",NA,NA,5000,NA,"9 PM – 4 AM",NA,NA,NA,"9 PM – 4 AM","9 PM – 4 AM",NA,"9 PM – 4 AM",NA,NA,NA,"Medium","1x1","5","Yes",20,"Very Narrow","Any weather","Sea"
"Easy","I caught a puffer fish! I thought you would be tougher, fish!","Beige","Black","Fish","FishHarisenbon","https://acnhcdn.com/latest/BookFishIcon/FishHarisenbonCropped.png","Like its cousin the blowfish, when the puffer fish feels threatened it inflates into a spiky balloon. The biggest difference between them is that the puffer fish is not deadly poisonous like its kin. So while it may look scary, the substantially reduced risk to life and limb makes it much better company.","FtrFishHarisenbon","https://acnhcdn.com/latest/FtrIcon/FtrFishHarisenbon.png",71,"Pet","Fish45","https://acnhcdn.com/latest/MenuIcon/Fish45.png","F55","Fluorescent",NA,"puffer fish",NA,"All day",NA,NA,NA,"All day",NA,NA,NA,NA,NA,"All day",250,NA,NA,NA,"All day","All day",NA,NA,"All day",NA,NA,NA,NA,"Medium","1x1","7–8","Yes",0,"Medium","Any weather","Sea"
"Very Easy","I caught an anchovy! Stay away from my pizza!","Blue","Red","Fish","FishAntyobi","https://acnhcdn.com/latest/BookFishIcon/FishAntyobiCropped.png","There are more than 140 species of anchovy, but they do all have some things in common. They are small and feed by simply swimming with their mouths open to filter food particles from the sea. (In my sleepier moments, I sometimes wish I could do that...)","FtrFishAntyobi","https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobi.png",71,"Pet","Fish81","https://acnhcdn.com/latest/MenuIcon/Fish81.png","F56","No lighting",NA,"anchovy","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM",200,"4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","Small","1x1","2–5","No",0,"Very Wide","Any weather","Sea"
"Very Easy","I caught a horse mackerel! Of course, Mack...er...el.","Blue","Black","Fish","FishAji","https://acnhcdn.com/latest/BookFishIcon/FishAjiCropped.png","Supposedly the horse mackerel derives its name from a-false-myth about its strengh as a swimmer. The gist of it is that these fish are so powerful underwater that smaller fish can ride them as steeds! It's absurd, of course. Where would these alleged fish jockeys attach a saddle, much less horseshoes? One does wish that people would construct their legends with a BIT more scientific plausibility!","FtrFishAji","https://acnhcdn.com/latest/FtrIcon/FtrFishAji.png",71,"Pet","Fish46","https://acnhcdn.com/latest/MenuIcon/Fish46.png","F57","Fluorescent",NA,"horse mackerel","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day",150,"All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Small","1x1","14–21","Yes",0,"Wide","Any weather","Sea"
"Hard","I caught a barred knifejaw! They must have a hard time eating!","White","Black","Fish","FishIshidai","https://acnhcdn.com/latest/BookFishIcon/FishIshidaiCropped.png","Wonderful! I would love nothing more! The barred knifejaw, also called the striped beakfish, is a lovely fish with a distinctive striped pattern. It is reportedly also a very curious fish in that it has been known to approach swimmers to ""greet"" them. They also tend to be good at avoiding fishing hooks, so well done on outwitting this one!","FtrFishIshidai","https://acnhcdn.com/latest/FtrIcon/FtrFishIshidai.png",71,"Pet","Fish47","https://acnhcdn.com/latest/MenuIcon/Fish47.png","F58","Fluorescent",NA,"barred knifejaw","All day","All day",NA,NA,NA,"All day","All day","All day","All day","All day","All day","All day",5000,"All day",NA,"All day","All day","All day",NA,NA,"All day","All day","All day","All day","All day","Medium","1x1","3–5","Yes",20,"Medium","Any weather","Sea"
"Easy","I caught a sea bass! No, wait- it's at least a C+!","Gray","Black","Fish","FishSuzuki","https://acnhcdn.com/latest/BookFishIcon/FishSuzukiCropped.png","Sea bass is a name given to a variety of different species of saltwater fish. They are a varied bunch with some as small as four inches and some as staggeringly ginormous as eight feet! 'Sea bass' is a bit pedestrian though. Many species have better names, such as 'redbanded perch.' Or the delightfully whimsical dusky grouper! Or the potato cod! WILL NO ONE THINK OF THE PINK MAOMAO?!","FtrFishSuzuki","https://acnhcdn.com/latest/FtrIcon/FtrFishSuzuki.png",71,"Pet","Fish48","https://acnhcdn.com/latest/MenuIcon/Fish48.png","F59","Fluorescent",NA,"sea bass","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day",400,"All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","X-Large","2x1","11–18","Yes",0,"Wide","Any weather","Sea"
"Easy","I caught a koi! I don't know why it's so shy... or such a bad speller...","Red","White","Fish","FishNishikigoi","https://acnhcdn.com/latest/BookFishIcon/FishNishikigoiCropped.png","Koi are a variety of carp bred for their color mutations...starting more than a thousand years ago! Well, one glance at their impressive coloring tells you that the centuries of effort were worth it. And even today people still selectively breed koi in search of new color combinations! One marvels at the thought of what the koi may look like in another thousand years.","FtrFishNishikigoi","https://acnhcdn.com/latest/FtrIcon/FtrFishNishikigoi.png",71,"Pet","Fish6","https://acnhcdn.com/latest/MenuIcon/Fish6.png","F6","Fluorescent",NA,"koi","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM",4000,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","Large","1x1","1–4","Yes",20,"Medium","Any weather","Pond"
"Hard","I caught a red snapper! It looks pretty dapper!","Red","Black","Fish","FishTai","https://acnhcdn.com/latest/BookFishIcon/FishTaiCropped.png","Red snapper' is the common name of dozens of fish species, and I wonder why it is so popular. Are there so many types of fish that are both a shade of red and have a tendency to snap? Were there no other names? What about 'burgundy biter'? 'Garnet grasper'? 'Puce pincher'?","FtrFishTai","https://acnhcdn.com/latest/FtrIcon/FtrFishTai.png",71,"Pet","Fish49","https://acnhcdn.com/latest/MenuIcon/Fish49.png","F60","Fluorescent",NA,"red snapper","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day",3000,"All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Large","1x1","5–7","Yes",0,"Medium","Any weather","Sea"
"Easy","I caught a dab! Not bad!","Brown","Black","Fish","FishKarei","https://acnhcdn.com/latest/BookFishIcon/FishKareiCropped.png","The dab is a flatfish that bears some resemblance to the olive flounder, though their mouths are different. Personally, I am morbidly fascinated by each fish's eye placement. The dab's eyes are both on its right side, while the olive flounder's are on the left. These fish spend lots of time lying on their sides in the sand, so the odd eye placement makes some sense... But its-how can I put this? Creepy? Viscerally disturbing? Profoundly upsetting to fans of symmetry?","FtrFishKarei","https://acnhcdn.com/latest/FtrIcon/FtrFishKarei.png",71,"Pet","Fish50","https://acnhcdn.com/latest/MenuIcon/Fish50.png","F61","Fluorescent",NA,"dab","All day",NA,"All day","All day","All day",NA,NA,"All day",NA,"All day","All day",NA,300,"All day","All day",NA,NA,NA,"All day","All day",NA,"All day",NA,"All day","All day","Medium","1x1","11–14","Yes",0,"Medium","Any weather","Sea"
"Medium","I caught an olive flounder! That's not the pits!","Beige","Black","Fish","FishHirame","https://acnhcdn.com/latest/BookFishIcon/FishHirameCropped.png","Did you know that the olive flounder is the same shape as other fish when it hatches? But as it grows, it gets both wider and flatter, and can reach some three feet long. These flat fish spend much of their lives buried under the sandy ocean floor, waiting for prey to happen by. Imagine the surprise for said prey when they strike. It would be as if your kitchen floor were to bite you.","FtrFishHirame","https://acnhcdn.com/latest/FtrIcon/FtrFishHirame.png",71,"Pet","Fish51","https://acnhcdn.com/latest/MenuIcon/Fish51.png","F62","Fluorescent",NA,"olive flounder","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day",800,"All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","X-Large","2x1","4–6","Yes",0,"Narrow","Any weather","Sea"
"Easy","I caught a squid! It's off the hook!; I caught a squid! I had an inkling I might!; I caught a squid! Do they... not actually ""bloop""?","Beige","Black","Fish","FishIka","https://acnhcdn.com/latest/BookFishIcon/FishIkaCropped.png","Well, first off, squids are members of the mollusk family, just like the octopus. Many mollusks like snails and clams have shells, but the squid's body is almost completely soft. The exception is a long, narrow bit of hard material going through its main body - the last remnant of its shell. Of course, having your shell INSIDE is not a best practice. Perhaps they lost the owner's manual!","FtrFishIka","https://acnhcdn.com/latest/FtrIcon/FtrFishIka.png",71,"Pet","Fish52","https://acnhcdn.com/latest/MenuIcon/Fish52.png","F63","Fluorescent",NA,"squid","All day","All day","All day","All day","All day","All day","All day","All day","All day",NA,NA,NA,500,NA,"All day","All day","All day","All day","All day","All day",NA,NA,"All day","All day","All day","Medium","1x1","7–10","Yes",0,"Wide","Any weather","Sea"
"Easy","I caught a moray eel! When you're in love, that's a moray!","Brown","Black","Fish","FishUtsubo","https://acnhcdn.com/latest/BookFishIcon/FishUtsuboCropped.png","Despite its rather frightening features, the moray eel is really a very cowardly fish. It lives its life hiding in caves, and will only attack if you're looking for a fight. You've heard of a ""bark that is worse than the bite""? Well, the moray eel has a face that's worse than its fight!","FtrFishUtsubo","https://acnhcdn.com/latest/FtrIcon/FtrFishUtsubo.png",71,"Pet","Fish55","https://acnhcdn.com/latest/MenuIcon/Fish55.png","F64","Fluorescent",NA,"moray eel",NA,"All day",NA,NA,NA,NA,NA,NA,NA,NA,"All day","All day",2000,"All day",NA,NA,"All day",NA,NA,NA,"All day",NA,NA,NA,NA,"Long","2x1","2","Yes",20,"Medium","Any weather","Sea"
"Hard","I caught a ribbon eel! Can it tie itself into a bow?","Blue","Black","Fish","FishHanahigeutubo","https://acnhcdn.com/latest/BookFishIcon/FishHanahigeutuboCropped.png","The ribbon eel is related to the moray eel, though its bright coloration distinguishes it. It also has an unusual plant-like appendage at the tip of its nose that flutters as the creature moves. I like to think of it as having an extremely friendly nose that waves a greeting to those nearby!","FtrFishHanahige","https://acnhcdn.com/latest/FtrIcon/FtrFishHanahige.png",71,"Pet","Fish71","https://acnhcdn.com/latest/MenuIcon/Fish71.png","F65","Fluorescent",NA,"ribbon eel",NA,"All day",NA,NA,NA,"All day","All day",NA,NA,NA,"All day","All day",600,"All day",NA,"All day","All day","All day",NA,NA,"All day",NA,NA,NA,NA,"Long","2x1","2","Yes",0,"Very Narrow","Any weather","Sea"
"Very Hard","I caught a tuna! It's a little off-key!","Blue","Black","Fish","FishMaguro","https://acnhcdn.com/latest/BookFishIcon/FishMaguroCropped.png","The tuna is a large ocean fish that can reach upwards of nine feet long. Besides its great size, it's notable for continuing to swim even when it's sleeping! Well, to be fair, if it doesn't keep swimming, it won't be able to breathe and will of course die... But sleep should be restful, eh wot! If I were the tuna I would feel very hard done by!","FtrFishMaguro","https://acnhcdn.com/latest/FtrIcon/FtrFishMaguro.png",71,"Pet","Fish57","https://acnhcdn.com/latest/MenuIcon/Fish57.png","F66","Fluorescent",NA,"tuna","All day",NA,"All day","All day","All day",NA,NA,"All day",NA,"All day",NA,NA,7000,NA,"All day",NA,NA,NA,"All day","All day",NA,"All day",NA,"All day","All day","XX-Large","2x1","2","Yes",50,"Narrow","Any weather (boosted in rain and snow)","Pier"
"Very Hard","I caught a blue marlin! Listen to this fish. it's got a point.","Blue","Black","Fish","FishKajiki","https://acnhcdn.com/latest/BookFishIcon/FishKajikiCropped.png","The blue marlin has a distinctive angular shape and no scales. It is an unusual relative of the tuna. These mighty fish can exceed 13 feet from bill to tail. Some accounts even have it fighting with whales! No wonder it's a popular target for sport fishing: unlike most fish, it seems like a worthy opponent.","FtrFishKajiki","https://acnhcdn.com/latest/FtrIcon/FtrFishKajiki.png",71,"Pet","Fish58","https://acnhcdn.com/latest/MenuIcon/Fish58.png","F67","Fluorescent",NA,"blue marlin","All day","All day","All day","All day","All day","All day",NA,"All day",NA,"All day",NA,"All day",10000,NA,"All day",NA,"All day","All day","All day","All day","All day","All day",NA,"All day","All day","XX-Large","2x1","1–2","Yes",50,"Narrow","Any weather (boosted in rain and snow)","Pier"
"Very Hard","I caught a giant trevally! Yeah, I'm pretty well-trevalled.","Black","Black","Fish","FishRouninaji","https://acnhcdn.com/latest/BookFishIcon/FishRouninajiCropped.png","The giant trevally, as befits its name, can reach six feet in length and 180 pounds! Its size and strength have made it a favored opponent for anglers since time immemorial. They are also ingenious hunters, sometimes taking advantage of other predators to distract their prey. There have even been documented cases of them attacking —gulp— birds.","FtrFishGT","https://acnhcdn.com/latest/FtrIcon/FtrFishGT.png",71,"Pet","Fish70","https://acnhcdn.com/latest/MenuIcon/Fish70.png","F68","Fluorescent",NA,"giant trevally",NA,"All day",NA,NA,NA,"All day","All day",NA,"All day",NA,"All day","All day",4500,"All day",NA,"All day","All day","All day",NA,NA,"All day",NA,"All day",NA,NA,"X-Large","2x1","1","Yes",20,"Very Narrow","Any weather","Pier"
"Very Hard","I caught a mahi-mahi! It's all mahine-mahine.","Yellow","Black","Fish","FishShiira","https://acnhcdn.com/latest/BookFishIcon/FishShiiraCropped.png","The mahi-mahi is an ocean fish known for its wide, somewhat-cute face. It can reach over six feet long. It is known by different names including ""dolphinfish,"" even though it has no relation to dolphins. They live in only in warm, tropical waters...which perhaps explains the relaxed, happy look on their faces.","FtrFishShiira","https://acnhcdn.com/latest/FtrIcon/FtrFishShiira.png",71,"Pet","Fish82","https://acnhcdn.com/latest/MenuIcon/Fish82.png","F69","Fluorescent",NA,"mahi-mahi",NA,"All day",NA,NA,NA,"All day","All day",NA,"All day",NA,"All day","All day",6000,"All day",NA,"All day","All day","All day",NA,NA,"All day",NA,"All day",NA,NA,"X-Large","2x1","1","Yes",50,"Very Narrow","Any weather (boosted in rain and snow)","Pier"
"Easy","I caught a goldfish! It's worth its weight in fish!","Red","Light blue","Fish","FishKingyo","https://acnhcdn.com/latest/BookFishIcon/FishKingyoCropped.png","Goldfish are so cute and delicate... but do you know how big they can get? Why, they can grow up to... a foot in length! Well, sometimes. The size of the tank they're kept in tends to restrict their growth. And just how big will this goldfish get in our large museum tank? I look forward to finding out!","FtrFishKingyo","https://acnhcdn.com/latest/FtrIcon/FtrFishKingyo.png",71,"Pet","Fish7","https://acnhcdn.com/latest/MenuIcon/Fish7.png","F7","No lighting",NA,"goldfish","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day",1300,"All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","X-Small","1x1","1–4","No",0,"Medium","Any weather","Pond"
"Hard","I caught an ocean sunfish! Good thing I'm wearing ocean sunscreen!","Blue","Orange","Fish","FishManbou","https://acnhcdn.com/latest/BookFishIcon/FishManbouCropped.png","The ocean sunfish is a large relative of the blowfish with an unusual shape, like a fish head with a tail. They are a fairly relaxed species, often content to ride where the currents take them. This is fortunate as, otherwise, the sight of a large head coming toward you might be alarming!","FtrFishManbou","https://acnhcdn.com/latest/FtrIcon/FtrFishManbou.png",71,"Pet","Fish60","https://acnhcdn.com/latest/MenuIcon/Fish60.png","F70","No lighting",NA,"ocean sunfish",NA,"4 AM – 9 PM",NA,NA,NA,"4 AM – 9 PM",NA,NA,NA,NA,NA,"4 AM – 9 PM",4000,NA,NA,NA,"4 AM – 9 PM","4 AM – 9 PM",NA,NA,"4 AM – 9 PM",NA,NA,NA,NA,"X-Large w/Fin","2x2","1","No",20,"Very Narrow","Any weather (boosted in rain and snow)","Sea"
"Easy","I caught a ray! A few more and I'll have a tan!","Brown","Black","Fish","FishEi","https://acnhcdn.com/latest/BookFishIcon/FishEiCropped.png","The ray is an unusually shaped fish with a flat body and a long body, somewhat related to sharks. Seen from the bottom, the mouth on its stomach appears to be smiling, which is objectively adorable. But be cautious—unlike most cute animals, some rays are extremely venomous. BEWARE THE SMILE.","FtrFishEi","https://acnhcdn.com/latest/FtrIcon/FtrFishEi.png",71,"Pet","Fish59","https://acnhcdn.com/latest/MenuIcon/Fish59.png","F71","Fluorescent",NA,"ray",NA,"4 AM – 9 PM",NA,NA,NA,NA,NA,NA,NA,"4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM",3000,"4 AM – 9 PM",NA,NA,"4 AM – 9 PM",NA,NA,NA,"4 AM – 9 PM","4 AM – 9 PM",NA,NA,NA,"X-Large","2x1","2","Yes",20,"Medium","Any weather","Sea"
"Hard","I caught a saw shark! You could call it a sea saw!","Brown","Black","Fish","FishNokogirizame","https://acnhcdn.com/latest/BookFishIcon/FishNokogirizameCropped.png","As you might expect from the name, the saw shark is a shark with a head that resembles a saw. This unusual appendage is used both to dig potential prey out of the sand and as a weapon against said prey. Given that, it seems like a more appropriate name would have been ""shovel-sword shark,"" eh wot?","FtrFishNokogiri","https://acnhcdn.com/latest/FtrIcon/FtrFishNokogiri.png",71,"Pet","Fish74","https://acnhcdn.com/latest/MenuIcon/Fish74.png","F72","Fluorescent",NA,"saw shark",NA,"4 PM – 9 AM",NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM",NA,NA,NA,NA,"4 PM – 9 AM",12000,NA,NA,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM",NA,NA,"4 PM – 9 AM",NA,NA,NA,NA,"X-Large w/Fin","2x1","1","Yes",50,"Very Narrow","Any weather","Sea"
"Hard","I caught a hammerhead shark! I hit the nail on the head!","Black","Black","Fish","FishShumokuzame","https://acnhcdn.com/latest/BookFishIcon/FishShumokuzameCropped.png","The hammerhead shark is known for its distinctive, hammer-shaped head, hence the name. Er, obviously. Anyhoot, this oddly shaped head allows the beast to see 360 degrees around itself, from top to bottom. Imagine being able to see so widely! You could check for untied shoelaces AND imminent rain simultaneously!","FtrFishShumokuzame","https://acnhcdn.com/latest/FtrIcon/FtrFishShumokuzame.png",71,"Pet","Fish61","https://acnhcdn.com/latest/MenuIcon/Fish61.png","F73","Fluorescent",NA,"hammerhead shark",NA,"4 PM – 9 AM",NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM",NA,NA,NA,NA,"4 PM – 9 AM",8000,NA,NA,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM",NA,NA,"4 PM – 9 AM",NA,NA,NA,NA,"X-Large w/Fin","2x1","1","Yes",20,"Narrow","Any weather (boosted in rain and snow)","Sea"
"Very Hard","I caught a great white shark! Watch out for its jaws!","Blue","Blue","Fish","FishSame","https://acnhcdn.com/latest/BookFishIcon/FishSameCropped.png","Great white sharks are obviously known first and foremost for their biting. They are masters of the craft! They do lose teeth regularly through biting-related activities, but, luckily, those teeth grow back quickly. In fact, their missing teeth can be regrown in a single day. Just imagine their tooth-fairy-related income!","FtrFishSame","https://acnhcdn.com/latest/FtrIcon/FtrFishSame.png",71,"Pet","Fish62","https://acnhcdn.com/latest/MenuIcon/Fish62.png","F74","No lighting",NA,"great white shark",NA,"4 PM – 9 AM",NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM",NA,NA,NA,NA,"4 PM – 9 AM",15000,NA,NA,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM",NA,NA,"4 PM – 9 AM",NA,NA,NA,NA,"X-Large w/Fin","3x2","2","No",50,"Narrow","Any weather (boosted in rain and snow)","Sea"
"Very Hard","Thar she blows! I caught a whale shark! I'm tellin' ya, it was thiiiiiiiiiiiiiiiiiiiis big!","Black","Blue","Fish","FishJinbeezame","https://acnhcdn.com/latest/BookFishIcon/FishJinbeezameCropped.png","The mighty whale shark is the largest species of fish in the world with specimens up to 60 feet long! Unlike many of their kin in the shark family, whale sharks are nonviolent, eating only plankton and such. They grow slowly and live long, relaxed lives of filter feeding and leisure in warm waters. So if you ever have to choose a fish as a roommate, you could do worse than the whale shark. Unless you can't swim.","FtrFishJinbee","https://acnhcdn.com/latest/FtrIcon/FtrFishJinbee.png",71,"Pet","Fish72","https://acnhcdn.com/latest/MenuIcon/Fish72.png","F75","No lighting",NA,"whale shark",NA,"All day",NA,NA,NA,"All day","All day",NA,NA,NA,NA,"All day",13000,NA,NA,"All day","All day","All day",NA,NA,"All day",NA,NA,NA,NA,"X-Large w/Fin","3x2","1","No",50,"Very Narrow","Any weather (boosted in rain and snow)","Sea"
"Very Easy","I caught a suckerfish! I thought it was a shark! Oh, wait - now I get it. ""Sucker""...","Black","Black","Fish","FishKobanzame","https://acnhcdn.com/latest/BookFishIcon/FishKobanzameCropped.png","The suckerfish is a curious fish that likes to attach itself with its sucker mouth to larger marine animals. The benefit to the suckerfish is that it gets to eat smaller parasites and dead skin off the host's body. Amusingly, some people have used suckerfish on cords to catch large turtles with the fish's own suction! I imagine this practice is the cause of some awkward conversations between fish and turtle, eh wot","FtrFishKobanzame","https://acnhcdn.com/latest/FtrIcon/FtrFishKobanzame.png",71,"Pet","Fish83","https://acnhcdn.com/latest/MenuIcon/Fish83.png","F76","Fluorescent",NA,"suckerfish",NA,"All day",NA,NA,NA,"All day","All day",NA,NA,NA,NA,"All day",1500,NA,NA,"All day","All day","All day",NA,NA,"All day",NA,NA,NA,NA,"X-Large w/Fin","1x1","2","Yes",20,"Very Wide","Any weather","Sea"
"Very Easy","I caught a football fish! Some countries call it a soccer fish!","Black","Black","Fish","FishChouchinankou","https://acnhcdn.com/latest/BookFishIcon/FishChouchinankouCropped.png","The football fish is a strange and grotesque deep-sea fish with a lantern-like light on its forehead. Its light is apparently powered by luminous bacteria and other glowing microorganisms. One theory says it can spray these luminescent sidekicks when prey approaches in order to dazzle them...The deep contains many mysteries...as well as some things that are just sort of odd and off-putting.","FtrFishChouchinankou","https://acnhcdn.com/latest/FtrIcon/FtrFishChouchinankou.png",71,"Pet","Fish56","https://acnhcdn.com/latest/MenuIcon/Fish56.png","F77","Emission",NA,"football fish",NA,NA,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM",NA,NA,"4 PM – 9 AM",NA,"4 PM – 9 AM",NA,NA,2500,NA,"4 PM – 9 AM",NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM",NA,"4 PM – 9 AM",NA,NA,"4 PM – 9 AM","Large","2x1","6","Yes",20,"Wide","Any weather","Sea"
"Hard","I caught an oarfish! I hope I catch morefish!","Red","Blue","Fish","FishRyuuguunotukai","https://acnhcdn.com/latest/BookFishIcon/FishRyuuguunotukaiCropped.png","The oarfish is a long, eel-like fish that can supposedly reach up to 36 feet in length. They appear in various legends as things like messengers of the gods. It seems to me a creature like that could explain the myth of massive, ship-crushing sea serpents. It is, of course, well documented that people tend to exaggerate the size of ""the one that got away"".","FtrFishRyugu","https://acnhcdn.com/latest/FtrIcon/FtrFishRyugu.png",71,"Pet","Fish69","https://acnhcdn.com/latest/MenuIcon/Fish69.png","F78","No lighting",NA,"oarfish","All day",NA,"All day","All day","All day",NA,NA,"All day","All day",NA,NA,NA,9000,NA,"All day",NA,NA,NA,"All day","All day",NA,NA,"All day","All day","All day","XX-Large","3x2","1","No",50,"Very Narrow","Any weather (boosted in rain and snow)","Sea"
"Very Hard","I caught a barreleye! Like eyeing fish in a barrel!","Black","Black","Fish","FishDemenigisu","https://acnhcdn.com/latest/BookFishIcon/FishDemenigisuCropped.png","The barreleye is a deep-sea fish with protuberant eyes and a clear head, so some of its organs are... visible. At first blush, a transparent head seems absurd, but there is a reason: so it can see things directly above! But I must confess - the more I learn about deep-sea fish, the happier I am to live on dry land, wot.","FtrFishDemenigisu","https://acnhcdn.com/latest/FtrIcon/FtrFishDemenigisu.png",71,"Pet","Fish84","https://acnhcdn.com/latest/MenuIcon/Fish84.png","F79","Fluorescent",NA,"barreleye","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM",15000,"9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","Small","1x1","1","No",100,"Very Narrow","Any weather","Sea"
"Easy","I got a pop-eyed goldfish! It looks so...surprised!","Black","Light blue","Fish","FishDemekin","https://acnhcdn.com/latest/BookFishIcon/FishDemekinCropped.png","Pop-eyed goldfish have, as the name suggests, huge round eyes. But as babies they look like other goldfish! As they grow, their eyes begin to pop out and they gain their, hoo, distinct appearance... Imagine the poor fish fancier who unknowingly bought one! Their eyes might well pop out just as far!","FtrFishDemekin","https://acnhcdn.com/latest/FtrIcon/FtrFishDemekin.png",71,"Pet","Fish8","https://acnhcdn.com/latest/MenuIcon/Fish8.png","F8","No lighting",NA,"pop-eyed goldfish","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM",1300,"9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","X-Small","1x1","1–2","No",0,"Medium","Any weather","Pond"
"Very Hard","Blast from the past! I caught a coelacanth! Think positive! Be a coela-CAN!","Black","Black","Fish","FishSirakansu","https://acnhcdn.com/latest/BookFishIcon/FishSirakansuCropped.png","The coelacanth is a deep-sea fish that has been around since the age of the dinosaurs. They were long thought extinct, so when living specimens were discovered, it was quite a shock! Now I'll just have to figure out where in the museum to display it— fish or fossils!","FtrFishSirakansu","https://acnhcdn.com/latest/FtrIcon/FtrFishSirakansu.png",71,"Pet","Fish63","https://acnhcdn.com/latest/MenuIcon/Fish63.png","F80","Fluorescent",NA,"coelacanth","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day",15000,"All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","XX-Large","2x1","1–2","Yes",100,"Very Narrow","Any weather (boosted in rain and snow)","Sea (rainy days)"
